Name,Techland,Startech,Ultratech
AMD RX 7700 XT (PowerColor),https://www.techlandbd.com/powercolor-amd-radeon-rx-7700-xt-12gb-gddr6-graphics-card,https://www.startech.com.bd/powercolor-amd-radeon-rx-7700-xt-12gb-gddr6-graphics-card,
AMD RX 7700 XT (PowerColor Hellhound),https://www.techlandbd.com/powercolor-hellhound-amd-radeon-rx-7700-xt-12gb-gddr6-graphics-card,https://www.startech.com.bd/powercolor-hellhound-amd-radeon-rx-7700-xt-12gb-graphics-card,https://www.ultratech.com.bd/powercolor-hellhound-amd-radeon-rx-7700-xt-12gb-gddr6-graphics-card
AMD RX 7700 XT (Sapphire Pure),https://www.techlandbd.com/sapphire-pure-amd-radeon-rx-7700-xt-12gb-ddr6-graphics-card,https://www.startech.com.bd/sapphire-pure-amd-radeon-rx-7700-xt-12gb-gaming-graphics-card,https://www.ultratech.com.bd/sapphire-pure-amd-radeon-rx-7700-xt-12gb-gaming-graphics-card
AMD RX 7700 XT (Sapphire Pure OC),https://www.techlandbd.com/sapphire-pure-amd-radeon-rx-7700-xt-12gb-graphics-card,,
AMD RX 7800 XT (PowerColor),https://www.techlandbd.com/powercolor-amd-radeon-rx-7800-xt-16gb-gddr6-graphics-card,https://www.startech.com.bd/powercolor-amd-radeon-rx-7800-xt-16gb-gddr6-graphics-card,
AMD RX 7800 XT (PowerColor Hellhound),https://www.techlandbd.com/powercolor-hellhound-amd-radeon-rx-7800-xt-16gb-gddr6-graphics-card,https://www.startech.com.bd/powercolor-hellhound-amd-radeon-rx-7800-xt-16gb-graphics-card,https://www.ultratech.com.bd/powercolor-hellhound-amd-radeon-rx-7800-xt-16gb-gddr6-graphics-card
AMD RX 7800 XT (PowerColor Red Devil),https://www.techlandbd.com/powercolor-reddevil-radeon-rx-7800-xt-16gb-gpu,https://www.startech.com.bd/powercolor-red-devil-amd-radeon-rx-7800-xt-16gb-gddr6-graphics-card,https://www.ultratech.com.bd/powercolor-red-devil-amd-radeon-rx-7800-xt-16gb-gddr6-graphics-card
AMD RX 7800 XT (Sapphire Pure),https://www.techlandbd.com/sapphire-pure-amd-radeon-rx-7800-xt-graphics-card,https://www.startech.com.bd/sapphire-pure-amd-radeon-rx-7800-xt-16gb-gaming-graphics-card,
AMD RX 7800 XT (Sapphire Pure OC),,,https://www.ultratech.com.bd/sapphire-pure-amd-radeon-rx-7800-xt-gaming-oc-16gb-gddr6-graphics-card
NVidia GeForce RTX 4070 Super (MSI Ventus 2x OC),https://www.techlandbd.com/msi-rtx-4070-super-12g-ventus-2x-oc-gpu,https://www.startech.com.bd/msi-geforce-rtx-4070-super-12g-ventus-2x-oc-graphics-card,
Intel Arc B580 (Gunnir Photon OC),https://www.techlandbd.com/gunnir-b580-photon-12g-oc-graphics-card,https://www.startech.com.bd/gunnir-intel-arc-b580-photon-12g-oc-graphics-card,https://www.ultratech.com.bd/gunnir-b580-photon-12gb-oc-ddr6-graphics-card-black
